artigos|macrotemas|nomes_normas
. O Laboratório de Histocompatibilidade e Imunogenética deve dispor de pelo menos uma técnica adicional ou estratégia para resolução dos casos inconclusivos com a técnica principal. No caso de não possuir a técnica adicional ou estratégia, o laboratório deve ter um contrato com outro laboratório de apoio.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve monitorar a fase analítica por meio de controles internos específicos para cada exame e controle externo da qualidade.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve definir o fluxo de comunicação com as equipes de transplante, com a CNCDO e outros serviços de saúde relacionados a realização dos exames.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve assegurar que os resultados dos exames sejam confiáveis, liberados em tempo hábil e de maneira confidencial.|sangue, tecidos, células e órgãos|RDC 61_2009
. O laudo deve ser legível, sem rasuras de transcrição, escrito em língua portuguesa, datado e assinado pelo RT ou por profissional de nível superior legalmente habilitado e autorizado por ele.|sangue, tecidos, células e órgãos|RDC 61_2009
. O laudo deve conter, no mínimo, os seguintes itens:|sangue, tecidos, células e órgãos|RDC 61_2009
. No caso dos exames de histocompatibilidade e imunogenética para cadastro de doadores voluntários de medula óssea, a forma de envio dos resultados será conforme recomendação do REDOME.|sangue, tecidos, células e órgãos|RDC 61_2009
. Outras formas de envio de resultados poderão ser estabelecidas pela CGSNT e CNCDO.|sangue, tecidos, células e órgãos|RDC 61_2009
. Caso haja necessidade de retificação em qualquer dado constante do laudo já emitido, a mesma deve ser feita em um novo laudo onde fique clara a retificação realizada.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve estabelecer condutas para o armazenamento e manutenção de amostras biológicas de doadores e receptores que são relevantes aos exames para transplante.|sangue, tecidos, células e órgãos|RDC 61_2009
. O descarte de resíduos do Laboratório de Histocompatibilidade e Imunogenética deve estar descrito no Plano de Gerenciamento de Resíduos de Serviços de Saúde (PGRSS), de acordo com as normas vigentes.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve ter um sistema de registro apropriado que permita a rastreabilidade da amostra, desde a coleta até o seu destino final, incluindo-se a identificação do doador e receptor e os resultados dos exames referentes a cada amostra.|sangue, tecidos, células e órgãos|RDC 61_2009
. Todos os registros de doadores, receptores, coleta ou recebimento de amostras, processamento e armazenamento de amostras, dados brutos e cópias dos laudos liberados e procedimentos relacionados ao controle e garantia da qualidade realizados pelo Laboratório de Histocompatibilidade e Imunogenética devem ser arquivados por um período de, no mínimo, 5 (cinco) anos.|sangue, tecidos, células e órgãos|RDC 61_2009
. Todos os registros do Laboratório de Histocompatibilidade e Imunogenética devem ser de caráter confidencial.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve implementar um sistema de garantia da qualidade, devidamente estabelecido por meio de instruções escritas, assinado pelo RT, e ser de conhecimento de todo o pessoal administrativo e técnico-científico. Deve incluir, no mínimo:|sangue, tecidos, células e órgãos|RDC 61_2009
. O laboratório deve manter registro de origem, lote e validade dos materiais, reagentes e produtos para diagnóstico de uso in vitro utilizados em cada exame realizado, bem como os materiais usados na coleta das amostras.|sangue, tecidos, células e órgãos|RDC 61_2009
. O laboratório deve definir o grau de pureza da água reagente necessária para cada método analítico, os parâmetros a serem monitorados e a freqüência do monitoramento.|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve assegurar a confiabilidade dos serviços laboratoriais prestados por meio de, no mínimo, controle interno da qualidade e controle externo da qualidade.|sangue, tecidos, células e órgãos|RDC 61_2009
. Os programas de Controle Interno da Qualidade – CIQ e Controle Externo da Qualidade – CEQ devem ser documentados, contemplando:|sangue, tecidos, células e órgãos|RDC 61_2009
. O CIQ deve contemplar:|sangue, tecidos, células e órgãos|RDC 61_2009
. O Laboratório de Histocompatibilidade e Imunogenética deve realizar CEQ para todos os exames realizados na sua rotina.|sangue, tecidos, células e órgãos|RDC 61_2009
. Os estabelecimentos abrangidos por esta resolução terão o prazo de 1 (um) ano contado a partir da data de sua publicação para promover as adequações necessárias ao regulamento técnico.|sangue, tecidos, células e órgãos|RDC 61_2009
. O descumprimento das disposições contidas nesta resolução e no regulamento por ela aprovado constitui infração sanitária, nos termos da Lei no 6.437, de 20 de agosto de 1977, sem prejuízo das responsabilidades civil, administrativa e penal cabíveis.|sangue, tecidos, células e órgãos|RDC 61_2009
. Esta resolução deve ser revisada no prazo máximo de 03 (três) anos, a partir da data de sua publicação.|sangue, tecidos, células e órgãos|RDC 61_2009
o Certificar os lotes de Substância Química de Referência (SQR), procedentes da Farmacopéia Argentina, que passam a incorporar a lista de Substâncias Químicas de Referência da Farmacopéia Brasileira, conforme relação descrita no Anexo da presente RDC.|farmacopeia|RDC 62_2009
o Esta resolução possui o objetivo de estabelecer os requisitos mínimos para o registro de radiofármacos no país visando garantir a qualidade, segurança e eficácia destes medicamentos.|medicamentos|RDC 64_2009
o Esta resolução se aplica às seguintes categorias de classificação de medicamentos radiofármacos e estabelece os critérios e a documentação necessária para a realização de ensaios clínicos e para o registro de:|medicamentos|RDC 64_2009
o Para efeito desta resolução são adotadas as seguintes definições:|medicamentos|RDC 64_2009
o Para obtenção das informações sobre as características físico-químicas dos princípios ativos de um radiofármaco deve-se considerar os seguintes aspectos:|medicamentos|RDC 64_2009
o Somente os radiofármacos registrados na Anvisa, fabricados ou importados por estabelecimentos devidamente autorizados pelo governo federal e licenciados pelo governo estadual, poderão ser comercializados e distribuídos no País.|medicamentos|RDC 64_2009
o O registro previsto nesta norma não será exigido para a preparação extemporânea de um radiofármaco por pessoa qualificada para sua aplicação em um centro ou instituição legalmente autorizado para isso, se forem realizados exclusivamente a partir de geradores, componentes não radioativos e radionuclídeos registrados na Anvisa e de acordo com as instruções do fabricante.|medicamentos|RDC 64_2009
o No momento de protocolar a solicitação do registro, a empresa solicitante deve efetuar o pagamento da taxa de fiscalização sanitária correspondente.|medicamentos|RDC 64_2009
o Caso o radiofármaco a ser registrado contenha algum produto biológico na sua formulação, o solicitante do registro deve informar o número de registro do produto biológico na Anvisa e não será necessário o envio da documentação específica para o registro de produtos biológicos prevista na legislação vigente.|medicamentos|RDC 64_2009
o A empresa solicitante, ao protocolar a solicitação de registro deve apresentar 1 (uma) via de toda a documentação solicitada e 1 (um) CD-ROM com as mesmas informações gravadas em linguagem eletrônica tipo pdf (o número de série do disco deve estar explicitado na documentação).|medicamentos|RDC 64_2009
. A documentação deve ter as páginas seqüencialmente numeradas pela empresa e deve ser assinada pelo representante legal e pelo responsável técnico da empresa, o qual também deverá rubricar todas as páginas dos relatórios técnicos da documentação.|medicamentos|RDC 64_2009
. Todos os documentos encaminhados à Anvisa, assim como todas as informações contidas em rótulos, bulas, cartuchos e todo material impresso, devem estar escritos em língua portuguesa atendendo à legislação em vigor.|medicamentos|RDC 64_2009
. Os documentos oficiais em língua estrangeira apresentados para fins de registro devem ser acompanhados de tradução juramentada na forma da lei.|medicamentos|RDC 64_2009
. A empresa solicitante, ao protocolar sua solicitação de registro deve ordenar a documentação apresentada de acordo com a ordem disposta nesta resolução.|medicamentos|RDC 64_2009
. Caso o Medicamento Radiofármaco Novo ou Medicamento Radiofármaco já esteja registrado, e necessite realizar qualquer modificação de fórmula, alteração dos elementos de composição ou de seus quantitativos, adição, subtração ou inovação introduzida na elaboração do produto ou na embalagem, o titular do registro deverá submeter previamente à Anvisa a solicitação de alteração no registro do produto, de acordo com os assuntos previstos no Guia para realização de alterações, inclusões, notificações e cancelamentos pós-registro de medicamentos da legislação vigente.|medicamentos|RDC 64_2009
. O registro terá validade por 5 (cinco) anos e poderá ser revalidado por períodos iguais e sucessivos, mantido o número do registro inicial. A revalidação do registro deverá ser requerida no primeiro semestre do último ano do qüinqüênio de validade, considerando- se automaticamente revalidado, independentemente de decisão, se não houver sido esta proferida até a data do término daquele, conforme legislação vigente.|medicamentos|RDC 64_2009
. O radiofármaco cuja solicitação de revalidação de registro não for protocolada na Anvisa dentro dos prazos determinados pela legislação vigente, terá seu registro caducado e cancelado depois de expirada sua validade.|medicamentos|RDC 64_2009
. O detentor do registro do radiofármaco que tenha seu registro caducado ou cancelado, somente poderá obter um novo ssegistro do mesmo produto se iniciar novamente os trâmites necessários para obter o registro do radiofármaco, de acordo com a legislação vigente.|medicamentos|RDC 64_2009
. O registro do radiofármaco somente será válido após publicação de seu deferimento em DOU (Diário Oficial da União), conforme legislação vigente.|medicamentos|RDC 64_2009
. A Anvisa poderá, a qualquer momento e a seu critério, exigir provas adicionais de identidade e qualidade dos componentes do medicamento e/ou requerer novas provas para comprovação de eficácia e segurança clínica, caso ocorram fatos que dêem ensejo a avaliações complementares, mesmo após a concessão do registro.|medicamentos|RDC 64_2009
. Todos os ensaios clínicos conduzidos com radiofármacos em território nacional devem ser submetidos à anuência prévia da Anvisa segundo a legislação vigente para pesquisa clínica.|medicamentos|RDC 64_2009
. Para os ensaios clínicos envolvendo radiofármacos realizados em território nacional, além da documentação prevista na legislação específica para pesquisa clínica, o proponente deverá complementar o processo de anuência com os seguintes documentos:|medicamentos|RDC 64_2009
. No ato do protocolo de pedido de registro de um radiofármaco, a empresa deverá protocolar um processo único, apresentando os seguintes documentos, seguidos das informações solicitadas nas seções de III a VIII:|medicamentos|RDC 64_2009
. Para os Medicamentos Radiofármacos Novos ou Inovadores, a fim de se comprovar a eficácia terapêutica e segurança do produto, o proponente deve apresentar:|medicamentos|RDC 64_2009
. Para os Medicamentos Radiofármacos, a fim de se comprovar a eficácia terapêutica e segurança do produto, o proponente deve apresentar:|medicamentos|RDC 64_2009
. No caso de produtos constituídos por associação de duas ou mais substâncias ativas, o proponente deverá fornecer evidência científica que comprove a eficácia e a segurança da associação e demonstre o benefício e racionalidade que justifique a mesma.|medicamentos|RDC 64_2009
. No caso de associações de radiofármacos, ou duas ou mais apresentações em uma mesma embalagem para uso concomitante ou seqüencial, além dos demais itens, o proponente deve apresentar o resultado dos seguintes estudos:|medicamentos|RDC 64_2009
. No caso de novas formas farmacêuticas, concentrações, nova via de administração e indicações no País com radiofármacos, por parte de empresas não detentoras do registro inicial daquele(s) princípio(s) ativo(s), o proponente não precisa apresentar os relatórios de ensaios clínicos solicitados no Art. 24. Entretanto, deverão apresentar nas circunstâncias especificadas abaixo, os seguintes ensaios:|medicamentos|RDC 64_2009
. Excepcionalmente, no caso de radiofármacos utilizados no tratamento ou diagnóstico de doenças graves ou de alta mortalidade para os quais não existam alternativas terapêuticas, o solicitante poderá requerer o registro do produto junto a Anvisa apresentando estudos clínicos fase II já concluídos, e os estudos clínicos fase III em andamento que demonstrem uma alta eficácia diagnóstica, terapêutica ou preventiva.|medicamentos|RDC 64_2009
. Apresentar Relatório de Farmacovigilância atualizado, de acordo com a legislação em vigor, com dados obtidos de estudos clínicos e da comercialização do produto em outros países, quando aplicável.|medicamentos|RDC 64_2009
. No ato do protocolo de pedido de registro de um radiofármaco, o proponente deverá apresentar relatório técnico contendo as seguintes informações:|medicamentos|RDC 64_2009
. No ato do protocolo de pedido de registro de radiofármaco, o proponente deverá apresentar relatório de produção e controle de qualidade contendo as seguintes informações:|medicamentos|RDC 64_2009
. O prazo de validade do produto deve ser especificado e justificado pelo fabricante antes e após a reconstituição e/ou marcação radioativa do produto, levando em conta produtos de degradação radioquímicos e radionuclídicos.|medicamentos|RDC 64_2009
. Apresentar os resultados do estudo de estabilidade acelerada de três lotes piloto utilizados nos testes e estudos de estabilidade de longa duração em andamento de acordo com o Guia para a Realização de Estudo de Estabilidade de Medicamento da legislação vigente, com algumas observações especiais:|medicamentos|RDC 64_2009
. Modelo de texto de bula: as embalagens dos radiofármacos devem conter texto de bula com todas as informações pertinentes, segundo a legislação vigente. Algumas especificidades das preparações radiofarmacêuticas devem ser incluídas:|medicamentos|RDC 64_2009
. Modelo de rótulo de embalagem primária e secundária: além das exigências mínimas de informação previstas na legislação vigente, os rótulos das embalagens primária e secundária dos radiofármacos devem conter:|medicamentos|RDC 64_2009
. Os fabricantes ou seus representantes que pretendem importar radiofármacos, além dos dispositivos anteriores, deverão apresentar:|medicamentos|RDC 64_2009
. Todas as empresas, no primeiro semestre do último ano do qüinqüênio de validade do registro já concedido, deverão apresentar os seguintes documentos para efeito de renovação à Anvisa:|medicamentos|RDC 64_2009
. As empresas, radiofarmácias, clínicas e institutos produtores de radiofármacos terão o prazo de 2 (dois) anos a partir da data de sua publicação para promover as adequações necessárias a esta resolução. (Prazo prorrogado por 03 (três) anos pela Resolução - RDC no 66, de 09 de dezembro de 2011) (Prazo suspenso pela Resolução – RDC no 70, de 22 de dezembro de 2014)|medicamentos|RDC 64_2009
. O descumprimento das disposições contidas nesta resolução constitui infração sanitária, nos termos da Lei No 6.437, de 20 de agosto de 1977, sem prejuízo das responsabilidades civil, administrativa e penal cabíveis.|medicamentos|RDC 64_2009
o Os dispositivos a seguir indicados da Resolução de Diretoria Colegiada – RDC no 8, de 14 de fevereiro de 2007, passam a vigorar com as seguintes alterações:|temas transversais|RDC 65_2009
o Ficam revogados o art. 22o e seus parágrafos, bem como o art. 23 da Resolução da Diretoria Colegiada – RDC 222, de 28 de dezembro de 2006.|temas transversais|RDC 65_2009
o Fica aprovado o Regulamento Técnico que estabelece as condições sanitárias para o transporte no território nacional de órgãos humanos em hipotermia para fins de transplantes, em suas diferentes modalidades, nos termos desta Resolução.|sangue, tecidos, células e órgãos|RDC 66_2009
° Este Regulamento possui o objetivo de normatizar todas as atividades relacionadas ao transporte de órgãos humanos em hipotermia para fins de transplantes, de forma a proporcionar segurança aos órgãos, às pessoas e ao ambiente e estabelecer critérios em casos de acidentes com risco de exposição ao órgão humano armazenado e/ou transportado.|sangue, tecidos, células e órgãos|RDC 66_2009
° Este Regulamento se aplica a todos os transportadores, pessoas físicas ou jurídicas, que efetuam o transporte de órgãos humanos em hipotermia para fins de transplantes no território nacional.|sangue, tecidos, células e órgãos|RDC 66_2009
° Cabe aos Estados, ao Distrito Federal e aos Municípios implementarem as medidas para cumprimento e observância do Regulamento Técnico disposto nesta Resolução, estabelecendo mecanismos de fiscalização, entre outras medidas cabíveis e pertinentes.|sangue, tecidos, células e órgãos|RDC 66_2009
o Para efeito deste Regulamento Técnico são adotadas as seguintes definições:|sangue, tecidos, células e órgãos|RDC 66_2009
° O transporte no território nacional de órgãos humanos em hipotermia para fins de transplantes será realizado somente segundo os critérios da legislação pertinente e se atendidas as exigências sanitárias deste Regulamento.|sangue, tecidos, células e órgãos|RDC 66_2009
° Os órgãos humanos devem ser transportados de forma segura, obedecendo às normas de biossegurança, com o propósito de assegurar a integridade e conservação, além de prevenir a contaminação do material e do pessoal envolvido no transporte.|sangue, tecidos, células e órgãos|RDC 66_2009
° Os órgãos humanos devem ser transportados por profissional designado pela equipe técnica de transplante, sob ciência da CNCDO, ou pela própria CNCDO, atendidos os seguintes requisitos:|sangue, tecidos, células e órgãos|RDC 66_2009
° Quando o transporte for terceirizado, o transportador deve cumprir os seguintes requisitos descritos formalmente em termo de responsabilidade com a Central Nacional de Transplantes – CNT e a CNCDO:|sangue, tecidos, células e órgãos|RDC 66_2009
. Não é permitida a subcontratação de nenhum serviço de transporte que altere o estabelecido pelo inciso II do art. 9°;|sangue, tecidos, células e órgãos|RDC 66_2009
. O termo de responsabilidade de prestação de serviço e o respectivo plano de transporte devem estar disponíveis à autoridade sanitária competente sempre que solicitado.|sangue, tecidos, células e órgãos|RDC 66_2009
. O transporte de órgãos humanos para transplantes deve ser realizado de forma organizada e coordenada entre o remetente, o transportador e o destinatário em tempo adequado para cada tipo de órgão, garantindo a qualidade, segurança e integridade do material.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os profissionais de saúde da equipe técnica ou designados pela equipe técnica de transplantes envolvidos na etapa de acondicionamento dos órgãos devem possuir treinamento permanente, compatível com as funções desempenhadas.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os profissionais envolvidos na etapa de deslocamento deverão receber orientações escritas pela equipe técnica de transplantes ou pela CNCDO e/ou OPO.|sangue, tecidos, células e órgãos|RDC 66_2009
. O responsável técnico pela equipe técnica de transplantes deve elaborar e manter as instruções escritas e atualizadas de acondicionamento e de armazenamento dos órgãos.|sangue, tecidos, células e órgãos|RDC 66_2009
. No caso do armazenamento ser de responsabilidade da Comissão Intra-Hospitalar de Doações de Órgãos e Tecidos para Transplante – CIHDOTT ou da Organização de Procura de Órgãos – OPO, esta deverá elaborar e manter as instruções escritas e atualizadas para este fim.|sangue, tecidos, células e órgãos|RDC 66_2009
. As instruções escritas e atualizadas de acondicionamento e armazenamento elaboradas conforme estabelecido nos artigos 16 e 17 devem ser disponibilizadas para a CNCDO, permanecer disponível a todo o pessoal envolvido no processo de transporte, bem como para as autoridades sanitárias competentes sempre que solicitado.|sangue, tecidos, células e órgãos|RDC 66_2009
. O responsável por acondicionar e armazenar o órgão deve seguir integralmente as instruções escritas previstas nos artigos 16 e 17, e o remetente deverá providenciar a documentação que acompanha o órgão, segundo os anexos II e III deste Regulamento, bem como demais documentos estabelecidos em legislações vigentes.|sangue, tecidos, células e órgãos|RDC 66_2009
. Cabe ao remetente providenciar a rotulagem e a sinalização das embalagens contendo os órgãos para transplantes e das amostras biológicas para triagem laboratorial.|sangue, tecidos, células e órgãos|RDC 66_2009
. Quando o órgão for transportado acompanhado, cabe ao membro da equipe técnica de captação ou de transplante autorizada pela CNCDO/SNT, em caso de acidentes com o material transportado, tomar as providências necessárias.|sangue, tecidos, células e órgãos|RDC 66_2009
. Quando o órgão for transportado na ausência de um membro da equipe técnica de captação ou de transplante autorizada pela CNCDO/SNT, será de responsabilidade do remetente elaborar, por escrito o plano de transporte, determinando o tempo máximo para entrega ao destinatário e dar as orientações aos transportadores conveniados ou contratados para que tomem as providências necessárias em caso de acidentes com o material transportado, conforme modelo constante no anexo III deste Regulamento.|sangue, tecidos, células e órgãos|RDC 66_2009
. O transportador é responsável por seguir as orientações recebidas e entregar o órgão nas mesmas condições de recebimento e dentro do prazo estabelecido.|sangue, tecidos, células e órgãos|RDC 66_2009
. Caso ocorram não-conformidades durante o transporte do material desacompanhado, o transportador conveniado ou contratado deve entrar em contato imediato com a CNCDO, no caso de transporte intraestadual, e com a CNT, no caso de transporte interestadual.|sangue, tecidos, células e órgãos|RDC 66_2009
. As equipes médicas envolvidas possuem as seguintes atribuições:|sangue, tecidos, células e órgãos|RDC 66_2009
. O acondicionamento deve se dar de forma asséptica que mantenha a integridade do órgão e evite a contaminação durante o transporte, e de forma a impedir a exposição dos profissionais que participam de todo o processo.|sangue, tecidos, células e órgãos|RDC 66_2009
. Para o acondicionamento, devem ser utilizadas uma embalagem primária, duas secundárias e uma terciária.|sangue, tecidos, células e órgãos|RDC 66_2009
. As embalagens primárias e secundárias devem ser estéreis, transparentes, resistentes, impermeáveis, e não oferecer risco de citotoxidade ou liberação de pirogênios para o órgão.|sangue, tecidos, células e órgãos|RDC 66_2009
. As embalagens devem ser submetidas à inspeção pela equipe técnica de transplante ou profissional de saúde por ela designado, antes e após o acondicionamento, para verificar e garantir a integridade das mesmas.|sangue, tecidos, células e órgãos|RDC 66_2009
. No caso de acondicionamento multiorgânico em uma única embalagem, a etiqueta de identificação deve discriminar todos os órgãos contidos na embalagem.|sangue, tecidos, células e órgãos|RDC 66_2009
. As embalagens secundárias devem ser acondicionadas na embalagem terciária.|sangue, tecidos, células e órgãos|RDC 66_2009
. O gelo com ponto de fusão a 0° C utilizado não deve entrar em contato direto com os órgãos.|sangue, tecidos, células e órgãos|RDC 66_2009
. É vedado o emprego de solução salina congelada como material refrigerante no acondicionamento, para prevenir congelamento do órgão.|sangue, tecidos, células e órgãos|RDC 66_2009
. As sinalizações, etiquetas e rótulos não podem estar rasurados, alterados ou sobrepostos.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os rótulos e as etiquetas de identificação devem permanecer firmemente aderidos às embalagens.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os órgãos , quando desacompanhados, não devem ser liberados para transporte sem autorização prévia, por escrito, da CNT/CNCDO.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os órgãos para transplantes e as amostras biológicas para triagem laboratorial devem ser transportadas com a devida documentação, conforme legislação vigente, para assegurar a rastreabilidade do processo.|sangue, tecidos, células e órgãos|RDC 66_2009
. É vedado o acondicionamento das amostras biológicas para triagem laboratorial nas embalagens secundárias que contenham os órgãos.|sangue, tecidos, células e órgãos|RDC 66_2009
. Deve-se assegurar que os formulários, guias ou documentos referentes à doação sejam entregues às equipes técnicas transplantadoras.|sangue, tecidos, células e órgãos|RDC 66_2009
. O transporte de órgãos deve ser realizado de forma que a embalagem terciária não sofra choques mecânicos e que impeça deslocamentos desta no veículo.|sangue, tecidos, células e órgãos|RDC 66_2009
. As normas de biossegurança devem ser seguidas por todos os profissionais que tenham contato direto com as embalagens primária e secundária.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os formulários de acompanhamento do órgão, citados no artigo 25, e o plano de transporte a que se refere o artigo 22 deste regulamento, devem ficar arquivados durante 20 anos.|sangue, tecidos, células e órgãos|RDC 66_2009
. O lote, a marca e a validade da solução de preservação utilizada para cada doação devem ser registrados no formulário de acompanhamento do órgão, o qual deve ser anexado ao prontuário do doador e do receptor.|sangue, tecidos, células e órgãos|RDC 66_2009
. Os registros devem assegurar a rastreabilidade do órgão durante todas as etapas do processo de transporte.|sangue, tecidos, células e órgãos|RDC 66_2009
. Todos os registros devem ser de caráter confidencial, respeitando o sigilo da identidade do doador e do receptor.|sangue, tecidos, células e órgãos|RDC 66_2009
. É proibido transportar órgãos humanos para fins de transplantes com outro tipo de carga que ofereça risco em relação à contaminação cruzada.|sangue, tecidos, células e órgãos|RDC 66_2009
. Além das disposições deste Regulamento, o transporte de material biológico humano, deverá ser realizado em conformidade com as diretrizes internacionais, as legislações do Ministério dos Transportes, bem como:|sangue, tecidos, células e órgãos|RDC 66_2009
. Esta Resolução de Diretoria Colegiada e seus anexos devem ser revistos no prazo máximo de 5 (cinco) anos, a partir da data de sua publicação.|sangue, tecidos, células e órgãos|RDC 66_2009
. O descumprimento ou inobservância das determinações desta Resolução constitui infração de natureza sanitária, sujeitando o infrator a processo e penalidades previstas na Lei no. 6.437, de 20 de agosto de 1977, sem prejuízo das responsabilidades penal e civil cabíveis.|sangue, tecidos, células e órgãos|RDC 66_2009
° Esta Resolução estabelece os requisitos gerais de tecnovigilância a serem adotados por todos os detentores de registro de produtos para a saúde sediados em território nacional.|produtos para a saúde|RDC 67_2009
° Para fins desta Resolução entende-se como tecnovigilância o sistema de vigilância de eventos adversos e queixas técnicas de produtos para a saúde na fase de pós-comercialização, com vistas a recomendar a adoção de medidas que garantam a proteção e a promoção da saúde da população.|produtos para a saúde|RDC 67_2009
° Para fins desta Resolução entende-se como detentor de registro de produto para a saúde o titular do registro de produto para a saúde junto à Anvisa.|produtos para a saúde|RDC 67_2009
° Para efeito desta Resolução são adotadas as seguintes definições:|produtos para a saúde|RDC 67_2009
° O detentor de registro de produto para saúde deve designar por documento escrito pelo menos um profissional com formação em nível superior, com registro em conselho de classe, como responsável pela área de tecnovigilância da empresa.|produtos para a saúde|RDC 67_2009
° O detentor do registro de produto para saúde deve estruturar e implantar um sistema de tecnovigilância em sua empresa, de modo a:|produtos para a saúde|RDC 67_2009
° Para fins de tecnovigilância, as seguintes ocorrências relacionadas a produtos para saúde e que envolvam pacientes, usuários ou outras pessoas devem ser prioritariamente avaliadas pelo detentor de registro:|produtos para a saúde|RDC 67_2009
° O detentor de registro de produto para saúde deve notificar ao SNVS No mais rapidamente possível, atendendo aos seguintes prazos:|produtos para a saúde|RDC 67_2009
° O detentor do registro de produto para a saúde deve manter atualizadas as informações referentes às notificações por ele encaminhadas ao SNVS, de acordo com os desdobramentos de cada caso.|produtos para a saúde|RDC 67_2009
. Os eventos adversos e queixas técnicas que se enquadram no Art. 8° desta Resolução ficam dispensados de notificação quando pelo menos uma das seguintes condições for verificada:|produtos para a saúde|RDC 67_2009
 Para notificar as ocorrências conforme previsto no Art. 8° desta Resolução, o detentor de registro deve utilizar o sistema de informação eletrônico do SNVS definido pela Anvisa.|produtos para a saúde|RDC 67_2009
. Eventos adveros ou queixas técnicas em decorrência da utilização dos produtos para a saúde citados na notificação ao SNVS que possam configurar infração à legislação sanitária federal serão apurados mediante devido processo administrativo.|produtos para a saúde|RDC 67_2009
. Sem prejuízo de outras cominações legais, inclusive penais, de que sejam passíveis os responsáveis técnicos e legais, a empresa responderá administrativa e civilmente por infração sanitária resultante da inobservância desta Resolução e demais normas complementares, nos termos da Lei n° 6.437/77.|produtos para a saúde|RDC 67_2009
. Caberá à Anvisa e aos demais membros do SNVS, no âmbito de suas competências e mediante pactuação de responsabilidades, a adoção de medidas ou procedimentos para os casos não previstos nesta Resolução.|produtos para a saúde|RDC 67_2009
. Fica estabelecido o prazo de 180 (cento e oitenta) dias para que a Anvisa disponibilize as ferramentas e sistemas necessários para o cumprimento das determinações previstas nesta Resolução.|produtos para a saúde|RDC 67_2009
. Fica estabelecido o prazo de 360 (trezentos e sessenta) dias para os detentores de registro de produtos para a saúde se adequarem a esta Resolução.|produtos para a saúde|RDC 67_2009
° Fica aprovado o Regulamento Técnico que trata do registro, fabricação, controle de qualidade, comercialização, uso e informações para a usuária de Dispositivo Intra-Uterino (DIU) contendo cobre.|produtos para a saúde|RDC 69_2009
o Este Regulamento estabelece as condições exigidas para registro, fabricação, controle da qualidade e informações para a usuária de Dispositivo Intra-Uterino (DIU), contendo cobre.|produtos para a saúde|RDC 69_2009
o Este Regulamento se aplica aos Dispositivos Intra-Uterinos (DIU) contendo cobre, excluindo-se os demais materiais de uso em saúde.|produtos para a saúde|RDC 69_2009
o Para efeito deste Regulamento Técnico são adotadas as definições:|produtos para a saúde|RDC 69_2009
o Para efeito deste Regulamento Técnico são adotadas as seguintes normas como referência:|produtos para a saúde|RDC 69_2009
o Quando avaliado por inspeção visual e táctil o DIU deve ter uma forma que se adapte a cavidade uterina e que minimize o risco de perfuração.|produtos para a saúde|RDC 69_2009
o O DIU e os instrumentos de inserção não devem apresentar pontas agudas.|produtos para a saúde|RDC 69_2009
o O DIU que necessitar de instrumento de inserção para sua correta aplicação deverá ser fornecido com este instrumento.|produtos para a saúde|RDC 69_2009
o O comprimento nominal de um DIU não deve ser maior que e a largura nominal não deve ser maior que .|produtos para a saúde|RDC 69_2009
 As dimensões do DIU devem ser consistentes com as especificações estabelecidas pelo fabricante com tolerância de 5% acima ou abaixo do valor especificado.|produtos para a saúde|RDC 69_2009
 Se for utilizado fio de Cobre o diâmetro deste deverá ser maior ou igual a .|produtos para a saúde|RDC 69_2009
 O diâmetro deve ser consistente com as especificações estabelecidas pelo fabricante dentro da tolerância de 5% acima ou abaixo do valor especificado, e a área da superfície ativa dentro da tolerância de 10% acima ou abaixo do valor especificado.|produtos para a saúde|RDC 69_2009
 O comprimento do fio conectado à extremidade inferior do corpo plástico deve ser maior ou igual a .|produtos para a saúde|RDC 69_2009
 O diâmetro externo de qualquer parte de um instrumento de inserção que no uso pretendido entre em contato com o canal cervical deve ser menor ou igual a e dentro da tolerância de 5% acima ou abaixo do valor especificado.|produtos para a saúde|RDC 69_2009
 O DIU, incluindo o fio, deve resistir a uma força de tração maior ou igual a 12 N.|produtos para a saúde|RDC 69_2009
 O DIU deve manter todas as características declaradas pelos fabricantes durante todo prazo de validade estabelecido, mantidas as condições de armazenamento estabelecidas pelos fabricantes.|produtos para a saúde|RDC 69_2009
 O DIU deve manter sua integridade estrutural durante todo o período de uso declarado pelo fabricante, inclusive os componentes de Cobre.|produtos para a saúde|RDC 69_2009
