Assunto/Ementa|Macrotema atual|Tema Biblioteca|Status do Ato|Citadora
1º  Aprovar o Regulamento Técnico Sobre Protetores Solares em Cosméticos constante do Anexo desta Resolução.|Cosméticos||Revogado|RDC 237/2002
Estabelecer a periodicidade trimestral para o envio das cópias simplificadas às autoridades sanitárias dos Estados Partes, dos “Formulários Trimestrais de Importação e Exportação de Entorpecentes e de Psicotrópicos” encaminhados à Junta Internacional de Fiscalização – JIFE.|Temas transversais|Controle e fiscalização nacionais de substâncias sob controle especial e plantas que podem originá-las|Vigente com alterações|RDC 239/2002
Ficam Revogados a Resolução-RDC n.º 13, de 28 de outubro de 1999, publicada no DOU Nº de 29 de outubro de 1999, a Resolução-RDC n.º 210, de 26 de julho de 2002, publicada no DOU Nº de 29 de julho  seguinte, e a Portaria n.º 74, de 31 de janeiro de 2002, publicada no DOU Nº de 4 de fevereiro de 2002.|Portos, Aeroportos e Fronteiras|Controle sanitário na importação de bens e produtos para fins de vigilância sanitária|Revogado|RDC 243/2002
Dispõe sobre a regulamentação do registro de produtos sujeitos à vigilância sanitária em razão da alteração da titularidade da empresa.|Temas transversais||Revogado|RDC 246/2002
Publicar a atualização do Anexo I, Listas de Substâncias Entorpecentes, Psicotrópicas, Precursoras e Outras sob Controle Especial, da Portaria SVS/MS n.º 344, de 12 de maio de 1998, Republicado no DOU Nº de 1º de fevereiro de 1999.|Temas transversais|Substâncias e medicamentos sujeitos a controle especial|Revogado|RDC 249/2002
Determinar a prorrogação até 11 de dezembro de 2002 do prazo previsto no Art 5º da Resolução - RDC nº 163, de 11 de setembro de 2001.|Saneantes|Guilhotina|Revogado|RDC 250/2002
Proíbe, em todo o território nacional, transitoriamente e em caráter de emergência, o ingresso, a comercialização e a exposição ao consumo, dos aditivos alimentares e dos alimentos embalados e prontos para consumo, destinados à alimentação humana, que contenham em sua composição ingredientes de: carnes, miúdos, vísceras, sangue, outros derivados e qualquer subproduto, exceto leite e produtos lácteos, originário de animais ruminantes das espécies bovina, ovina, caprina, bubalina e ruminantes silvestres.|Alimentos||Revogado|RDC 251/2002
Proibe o uso do Brometo de Metila para expurgos em cereais e grãos armazenados e no tratamento pós-colheita das culturas de abacate, abacaxi, amêndoas, ameixa, avelã, castanha, castanha-de cajú, castanha-do-pará, café, copra, citrus, damasco, maçã, mamão, manga, marmelo, melancia, melão, morango, nectarina, nozes, pêra, pêssego e uva.|Agrotóxicos||Revogado|INC 01/2002
Revogar a Resolução de Diretoria Colegiada – RDC nº 19, de 3 de março de 2000, publicada no DOU Nº de 8 de março de 2000, que proíbe a utilização do Brometo de Metila no tratamento de madeiras, em todo território nacional.|Agrotóxicos|Procedimentos para a reavaliação de ingredientes ativos de agrotóxicos e afins|Revogado|RDC 252/2002
Altera a Resolução nº 335, de 22/07/1999, que estabelece a reorganização do sistema de controle sanitário de produtos de higiene pessoal, cosméticos e perfumes; e a Resolução nº 184, de 22/10/2001, que dispõe sobre o Registro de Produtos Saneantes Domissanitários e Afins, de Uso Domiciliar, Institucional e Profissional que é efetuado segundo a avaliação e o gerenciamento do risco que são classificados como de Risco I e Risco II.|Cosméticos|Guilhotina|Revogado|RDC 254/2002
Aprovar o Regulamento Técnico sobre Rotulagem de Alimentos Embalados.|Alimentos|Rotulagem de alimentos|Vigente com alterações|RDC 259/2002
Os Produtos para a Saúde sujeitos ao cadastramento previsto no art. 3º da Resolução-RDC n.º 185/01, são os constantes da relação do Anexo I desta Resolução.|Produtos para a Saúde||Revogado|RDC 260/2002
A empresa interessada  em obter cópia de documentos ou de processos administrativos no âmbito da Agência  ao formular o requerimento deverá satisfazer as seguintes exigências e condições: I – demonstrar a legitimidade e interesse  na obtenção da cópia do documento requerido; II – juntar procuração ou contrato social que o habilite a requerer em nome da empresa os documentos a serem copiados; III – juntar o comprovante do recolhimento da Taxa de Fiscalização de Vigilância Sanitária, no caso de desarquivamento, nos termos da Lei n.º 9.782, de 26 janeiro de 1999.|Temas transversais|Procedimentos para atendimento ao público externo e prestação de informações no âmbito da Anvisa|Revogado|RDC 261/2002
"Aprovar o “Regulamento Técnico Sobre Limites Máximos de Aflatoxinas Admissíveis no Leite, no Amendoim, no Milho"", constante do Anexo desta Resolução."|Alimentos||Revogado|RDC 274/2002
Dispõe sobre o Regulamento Técnico de Procedimentos Operacionais Padronizados aplicados aos Estabelecimentos Produtores/Industrializadores de Alimentos e a Lista de Verificação das Boas Práticas de Fabricação em Estabelecimentos Produtores/Industrializadores de Alimentos.|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente|RDC 275/2002
Aprovar, na forma do ANEXO 1, as Regras para a nomenclatura de denominações comuns brasileiras – DCB de fármacos ou medicamentos.|Farmacopeia||Revogado|RDC 276/2002
Ampliar a proibição contida no art. 1º da RE nº 552, de 20 de abril de 2001, a todas as formas farmacêuticas de medicamentos anti-sépticos de uso tópico indicados para uso infantil.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente|RDC 277/2002
A importação das matérias primas, a fabricação, a distribuição, a comercialização, a prescrição médica e a aplicação dos medicamentos à base de gangliosídeos, serão controlados pela ANVISA.|Medicamentos||Revogado|RDC 278/2002
Publicar a relação de Substâncias Químicas de Referências certificadas, tendo em vista os resultados de estudos de certificação interlaboratorial coordenados pela Subcomissão de Material de Referência, da Comissão Permanente de Revisão da Farmacopéia Brasileira, conforme anexo.|Farmacopeia|Substâncias Químicas de Referências (SQR)|Vigente|RDC 280/2002
A importação das matérias primas, a fabricação, a distribuição, a comercialização, a prescrição médica e a aplicação dos medicamentos a base de gangliosídeos serão totalmente controlados pela ANVISA, na forma prevista nesta Resolução.|Medicamentos||Revogado|RDC 298/2002
Aprovar o Regulamento Técnico para Fixação de Identidade e Qualidade de Erva-Mate, em anexo|Alimentos||Revogado|RDC 302/2002
Aprovar o Regulamento Técnico para Fixação de Identidade e Qualidade do Composto de Erva-Mate, em anexo.|Alimentos||Revogado|RDC 303/2002
Proibir em todo o território nacional a produção, importação, comercialização, propaganda e distribuição de alimentos com forma de apresentação semelhante a cigarro, charuto, cigarrilha, ou qualquer outro produto fumígeno, derivado do tabaco ou não.|Alimentos|Controle, fiscalização e monitoramento de alimentos|Vigente|RDC 304/2002
"Dispõe sobre as embalagens destinadas ao acondicionamento de produtos hortícolas ""in natura""."|Alimentos|Rotulagem de alimentos|Vigente|INC 09/2002
Ficam proibidos, em todo o território nacional, enquanto persistirem as condições que configurem risco à saúde, o ingresso e a comercialização de matéria-prima e produtos acabados, semilaborados ou a granel para uso em seres humanos, cujo material de partida seja obtido a partir de tecidos/fluidos de animais ruminantes, relacionados às classes de medicamentos, cosméticos e produtos para a saúde.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente com alterações|RDC 305/2002
Estabelece condições para importação, comercialização, exposição ao consumo dos produtos incluídos na RDC nº 305, de 14 de novembro de 2002.|Temas transversais||Revogado|RDC 306/2002
Altera a Resolução - RDC nº 50 de 21 de fevereiro de 2002 que dispõe sobre o Regulamento Técnico para planejamento, programação, elaboração e avaliação de projetos físicos de estabelecimentos assistenciais de saúde.|Serviços de Saúde|Infraestrutura de estabelecimentos assistenciais de saúde|Vigente|RDC 307/2002
Os fornecedores de câmaras de bronzeamento e os estabelecimentos que executam procedimentos utilizando estes aparelhos devem atender às prescrições da norma técnica brasileira NBR IEC 60335-2-27 e disposições complementares estabelecidas nesta Resolução.|Produtos para a Saúde||Revogado|RDC 308/2002
Dispõe sobre a obrigatoriedade das empresas distribuidoras de produtos farmacêuticos somente efetuarem transações comerciais e operações de produtos farmacêuticos, por meio de notas fiscais que contenham obrigatoriamente os números dos lotes dos produtos nelas constantes e notificar a autoridade sanitária competente, de imediato, quaisquer suspeitas de alteração, adulteração, fraude, falsificação ou roubo dos produtos que distribuam.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente com alterações|RDC 320/2002
Determinar que as vacinas contra gripe a serem utilizadas no Brasil no ano de 2003, somente possam ser produzidas, comercializadas ou utilizadas, se estiverem dentro das determinações e nas composições descritas nesta Resolução.|Medicamentos|Composição das vacinas influenza a serem utilizadas no Brasil|Caduco|RDC 321/2002
Altera a Resolução da Diretoria Colegiada - RDC nº 46, de 20 de fevereiro de 2002, que dispõe sobre Regulamento Técnico para álcool etílico hidratado, em todas as graduações, e álcool etílico anidro comercializados por atacadistas e varejistas.|Saneantes|Regularização de álcool etílico como saneante|Vigente|RDC 322/2002
Estabelecer a auto-inspeção como um dos  instrumentos de avaliação do cumprimento das Boas Práticas de Fabricação de Produtos Médicos, para fins de prorrogação da validade do Certificado de Boas Práticas de Fabricação de Produtos Médicos.|Produtos para a Saúde||Revogado|RDC 331/2002
PROIBE A IMPORTAÇÃO E COMERCIALIZAÇÃO, EM TODO TERRITORIO NACIONAL, DO MEDICAMENTO REGISTRADO COMO MEDICAMENTO SIMILAR À BASE DE CICLOSPORINA DO LABORATORIO QUIMICO FARMACÊUTICO BÊRGAMO LTDA., COM A DENOMINAÇÃO PHARMOSPORIN.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente|RDC 332/2002
As empresas fabricantes de alimentos que contenham na sua composição o corante tartrazina (INS 102) devem obrigatoriamente declarar na rotulagem, na lista de ingredientes, o nome do corante tartrazina por extenso.|Alimentos|Rotulagem de alimentos|Vigente|RDC 340/2002
Altera a Resolução nº 217, de 21/11/2001 que aprova o Regulamento Técnico com vistas à promoção da vigilância sanitária nos Portos de Controle Sanitário instalados no território nacional, embarcações que operem transportes de cargas e ou viajantes nesses locais.|Portos, Aeroportos e Fronteiras||Revogado|RDC 341/2002
Instituir e aprovar o Termo de Referência, em anexo, para elaboração dos Planos de Gerenciamento de Resíduos Sólidos a serem apresentados a ANVISA para análise e aprovação.|Portos, Aeroportos e Fronteiras||Revogado|RDC 342/2002
Aprovar o Regulamento Técnico para a obtenção, testagem, processamento e Controle de Qualidade de Sangue e Hemocomponentes para uso humano, que consta como Anexo I.|Sangue, Tecidos, Células e Órgãos||Revogado|RDC 343/2002
Aprovar o Regulamento Técnico para a Fortificação das Farinhas de Trigo e das Farinhas de Milho com Ferro e Ácido Fólico , constante do anexo desta Resolução.|Alimentos|Fortificação de alimentos|Revogado|RDC 344/2002
Aprovar, conforme anexo I, o Regulamento Técnico para a Autorização de Funcionamento de empresas interessadas em prestar serviços de interesse da saúde pública em veículos terrestres que operem transportes coletivos internacional de passageiros, embarcações, aeronaves, terminais aquaviários, portos organizados, aeroportos, postos de fronteira e recintos alfandegados.|Portos, Aeroportos e Fronteiras|Controle sanitário de portos, aeroportos, fronteiras e recintos alfandegados|Vigente|RDC 345/2002
Aprovar, conforme Anexo I, o Regulamento Técnico para a Autorização de Funcionamento e Autorização Especial de Funcionamento de Empresas interessadas em operar a atividade de armazenar mercadorias sob vigilância sanitária em Terminais Aquaviários, Portos Organizados, Aeroportos, Postos de Fronteira e Recintos Alfandegados.|Portos, Aeroportos e Fronteiras|Controle sanitário de portos, aeroportos, fronteiras e recintos alfandegados|Vigente com alterações|RDC 346/2002
"Determina-se a publicação da “Relação de monografias dos ingredientes ativos de agrotóxicos e preservantes de madeira”, cujo emprego encontra-se autorizado conforme descrito, de
acordo com anexos."|Agrotóxicos|Monografias de agrotóxicos|Revogado|RDC 347/2002
Para fins da Gestão de Resíduos Sólidos em Portos, Aeroportos e Fronteiras define-se como de risco sanitário as áreas endêmicas e epidêmicas de Cólera e as com evidência de circulação do Vibrio cholerae patogênico.|Portos, Aeroportos e Fronteiras|Vigilância epidemiológica em portos, aeroportos e fronteiras (COV)|Revogado|RDC 351/2002
Dispõe sobre o Regulamento Técnico de Boas Práticas de Fabricação para Estabelecimentos Produtores/Industrializadores de Frutas e ou Hortaliças em Conserva e a Lista de Verificação das Boas Práticas de Fabricação para Estabelecimentos Produtores/Industrializadores de Frutas e ou Hortaliças em Conserva.|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente|RDC 352/2002
"Aprova como fato gerador de receita a Taxa de Emissão de Certificado de Boas Práticas de Fabricação e Controle para as empresas fabricantes, importadoras e distribuidoras de produtos
para a saúde."|Temas transversais|Peticionamento e arrecadação de Taxa de Fiscalização de Vigilância Sanitária (TFVS)|Revogado|RDC 353/2002
Aprovar e instituir o “ Certificado de Boas Práticas de Armazenamento e Distribuição para Produtos para a Saúde -  “CBPADPS”, conforme modelo disponível no site da ANVISA.|Produtos para a Saúde||Revogado|RDC 354/2002
Regimento  Interno da Comissão de Ética da Agência Nacional de Vigilância Sanitária, CEANVISA.|Gestão interna|Código de ética e Comissão de Ética da Agência Nacional de Vigilância Sanitária (CEANVISA)|Revogado|RDC 355/2002
Aprovar, conforme Anexo, o Regulamento Técnico para fins de vigilância sanitária de mercadorias importadas.|Portos, Aeroportos e Fronteiras||Revogado|RDC 01/2003
Aprovar o Regulamento Técnico, para fiscalização e controle sanitário em aeroportos e aeronaves, anexo a esta Resolução|Portos, Aeroportos e Fronteiras|Controle sanitário de portos, aeroportos, fronteiras e recintos alfandegados|Vigente com alterações|RDC 02/2003
Determinar a prorrogação até 31 de julho de 2003 do prazo previsto no item 4 do Anexo da Resolução – RE nº 198 de 11 de setembro de 2001.|Alimentos||Revogado|RDC 03/2003
Alterar a monografia, referente ao Ingrediente Ativo P-46 PIRACLOSTROBINA, publicada através da Resolução-RDC nº 347 de 16/12/2002, DOU de 31/12/02.|Agrotóxicos|Monografias de agrotóxicos|Vigente|RDC 05/2003
Considera-se medicamento de referência o produto inovador registrado na ANVISA e comercializado no país, cuja eficácia, segurança e qualidade foram comprovadas cientificamente junto ao órgão federal competente, por ocasião do registro.|Medicamentos||Revogado|RDC 06/2003
Determinar a publicação de Orientação Técnica elaborada por Grupo Técnico Assessor, sobre Padrões Referenciais de Qualidade do Ar Interior, em ambientes climatizados artificialmente de uso público e coletivo, em anexo.|Serviços de Saúde|Infraestrutura de estabelecimentos assistenciais de saúde|Vigente|RE 09/2003
Estabelece os dizeres de rotulagem que devem constar em produtos com indicação para hipersensibilidade dentinária.|Cosméticos|Rotulagem de produtos com indicação para hipersensibilidade dentinária|Vigente|RDC 13/2003
Altera dispositivos da RDC Nº 104 de 31 de maio de 2001.|Tabaco||Revogado|RDC 14/2003
Regulamenta disposições dadas pela Lei n.º 9.294 de 15 de julho de 1996, quanto à propaganda e pontos de venda e proíbe a venda de produtos fumígenos pela internet.|Tabaco|Controle e fiscalização de pontos de venda de Produtos Fumígenos|Vigente|RDC 15/2003
Estabelece o prazo de sessenta (60) dias, a contar da publicação desta Resolução, para o cumprimento das exigências previstas na Resolução - RDC 320, de 22 de novembro de 2002, que tem por objetivo garantir o Sistema de Controle e Fiscalização em toda cadeia dos produtos farmacêuticos no acompanhamento e monitoração das distribuidoras para a distribuição de medicamentos.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Revogado|RDC 16/2003
A importação de padrões de referência, incluindo padrões de produtos agrotóxicos, somente poderá ser realizada, após solicitação de órgãos, entidade(s) ou empresa(s) interessado(s) e  aprovação por parte da Agência Nacional de Vigilância Sanitária.|Agrotóxicos|Controle da importação de padrões de referência, incluindo padrões de produtos agrotóxicos|Vigente|RDC 17/2003
Publicar a atualização do Anexo I, Listas de Substâncias Entorpecentes, Psicotrópicas, Precursoras e Outras sob Controle Especial, da Portaria SVS/MS n.º 344, de 12 de maio de 1998, republicado no DOU de 1º de fevereiro de 1999.|Temas transversais|Substâncias e medicamentos sujeitos a controle especial|Revogado|RDC 18/2003
Prorrogar por 90 (noventa) dias o prazo constante do art. 2.º da Resolução RDC n.º 222, de 5 de agosto de 2002, publicada no Diário Oficial da União de 6 de agosto de 2002, referente ao Regulamento Técnico para Promoção Comercial dos Alimentos para Lactentes e Crianças de Primeira Infância.|Temas transversais|Comercialização de Alimentos para Lactentes e Crianças de 1ª Infância, Bicos, Chupetas e Mamadeiras (NBCAL)|Revogado|RDC 19/2003
Prorrogar o prazo de vigência de 1º de fevereiro de 2003 para 31 de março de 2003, da RDC nº 01, de 06 de janeiro de 2003, retificada em 10 de janeiro de 2003.|Portos, Aeroportos e Fronteiras||Revogado|RDC 20/2003
Prorrogar por 90 (noventa) dias o prazo constante do art. 2.º da Resolução RDC n.º 221, de 5 de agosto de 2002, publicada no Diário Oficial da União de 6 de agosto de 2002, referente ao Regulamento Técnico sobre chupetas, bicos, mamadeiras e protetores de mamilo.|Temas transversais|Comercialização de Alimentos para Lactentes e Crianças de 1ª Infância, Bicos, Chupetas e Mamadeiras (NBCAL)|Revogado|RDC 21/2003
Dispõe sobre normas básicas de procedimentos administrativos voltados para a melhoria do atendimento e da arrecadação no âmbito da Agência Nacional de Vigilância Sanitária - ANVISA.|Temas transversais||Revogado|RDC 23/2003
Altera a INC N° 01, de 10/09/2002.|Agrotóxicos||Revogado|INC 01/2003
Somente será considerado próprio para consumo humano o sal que contiver teor igual ou superior a 20 (vinte) miligramas até o limite máximo de 60 (sessenta) miligramas de iodo por quilograma de produto.|Alimentos||Revogado|RDC 32/2003
Aprova o Regulamento Técnico para o Gerenciamento de Resíduos de Serviços de Saúde -Diretrizes Gerais|Serviços de Saúde||Revogado|RDC 33/2003
Determinar a todos os estabelecimentos Distribuidores e Fracionadores de Insumos Farmacêuticos o cumprimento das diretrizes estabelecidas no Regulamento Técnico de Boas Práticas de Distribuição e Fracionamento de Insumos Farmacêuticos, conforme Anexo I da presente Resolução.|Insumos Farmacêuticos||Revogado|RDC 35/2003
Dispõe sobre os medicamentos antigripais.|Medicamentos|Registro, pós-registro e notificação de medicamentos (normas gerais)|Vigente com alterações|RDC 40/2003
Dispõe sobre os medicamentos Hepatoprotetores.|Medicamentos|Registro, pós-registro e notificação de medicamentos específicos|Vigente com alterações|RDC 41/2003
Dispõe sobre o Regulamento Técnico de Boas Práticas de Utilização das Soluções Parenterais  (SP)  em Serviços de Saúde|Serviços de Saúde|Requisitos Sanitários para utilização de soluções parenterais e prestação de serviços de nutrição parenteral|Vigente com alterações|RDC 45/2003
Estabelece condições para importação, comercialização, exposição ao consumo dos produtos incluídos na Resolução da Diretoria Colegiada - RDC nº 305, de 14 de novembro de 2002.|Medicamentos|Controle e fiscalização da cadeia de distribuição de medicamentos|Vigente com alterações|RDC 68/2003
Aprova a inclusão do aditivo HIDROXIBIS[2,4,8,10-TETRAKIS(1,1-DIMETILETIL)-6-HIDROXI-12H-DIBENZO[D,G][1,3,2]DIOXAFOSFOCIN 6-OXIDATO] DE ALUMÍNIO na Lista Positiva de Aditivos para Materiais Plásticos Destinados à Elaboração de Embalagens e Equipamentos Plásticos em Contato com Alimentos.|Alimentos||Revogado|RDC 70/2003
Altera a Resolução da Diretoria Colegiada – RDC nº 2, de 8 de janeiro de 2003, que dispõe sobre Regulamento Técnico para fiscalização e controle sanitário em aeroportos e aeronaves.|Portos, Aeroportos e Fronteiras|Controle sanitário de portos, aeroportos, fronteiras e recintos alfandegados|Revogado|RDC 71/2003
Aprova o Manual Brasileiro de Acreditação de Organizações Prestadoras de Serviços de Hemoterapia - 1ª Edição.|Sangue, Tecidos, Células e Órgãos|Serviços de hemoterapia|Revogado|RDC 75/2003
Altera a RDC nº 23, de 6 de fevereiro de 2003, que dispõe sobre normas básicas de procedimentos administrativos, voltados para a melhoria do atendimento e da arrecadação no âmbito da Agência Nacional de Vigilância Sanitária – ANVISA.|Temas transversais||Revogado|RDC 76/2003
Dispõe sobre exigências para renovação do registro de medicamentos para o tratamento sintomático da gripe.|Medicamentos|Registro, pós-registro e notificação de medicamentos|Vigente|RDC 77/2003
Dispõe sobre exigências para renovação do registro de medicamentos para o tratamento do fígado e que contenham indicação profilática como hepatoprotetor.|Medicamentos|Registro e pós-registro de medicamentos específicos|Revogado|RDC 78/2003
Dispõe sobre a utilização das farmacopéias Alemã, Britânica, Americana, Européia, Francesa, Japonesa, Mexicana e Nórdica na ausência de monografia oficial de matéria-prima, formas farmacêuticas, correlatos e métodos gerais inscritos na Farmacopéia Brasileira.|Farmacopeia||Revogado|RDC 79/2003
Dispõe sobre alteração na capacidade das embalagens metálicas do produto palmito em conserva.|Alimentos||Revogado|RDC 80/2003
Dispõe sobre a obrigatoriedade de identificação do fabricante do produto palmito em conserva, litografada na parte lateral da tampa metálica da embalagem de vidro do produto palmito em conserva e elaboração, implementação e manutenção de Procedimentos Operacionais Padronizados – POPs para acidificação e tratamento térmico.|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente com alterações|RDC 81/2003
Autoriza, até 30/09/2003, a adoção de rotinas não informatizadas quanto ao processamento e recebimento de petições e documentos no âmbito da ANVISA, bem como em relação ao recolhimento da receita proveniente da arrecadação das Taxas de Fiscalização de Vigilância Sanitária, nos casos de autorização, renovação, cancelamento e alteração da autorização de funcionamento dos estabelecimentos de dispensação de medicamentos: farmácias e drogarias, em virtude do perfil do Agente Regulado, conforme previsto no art. 44 da RDC n.º 23, de 2003.|Temas transversais|Peticionamento e arrecadação de Taxa de Fiscalização de Vigilância Sanitária (TFVS)|Revogado|RDC 86/2003
Revoga a RDC 132/01 que constitui a comissão técnica permanente responsável pela implantação e acompanhamento e avaliação do Programam Nacional de monitoramento de resíduos agrotóxicos em alimentos.|Agrotóxicos|Programa de análise de resíduos de agrotóxicos em alimentos (PARA)|Revogado|RDC 97/2003
Revoga o art. 2º da RDC nº 135, de 17 de maio de 2002, publicada no D.O.U de 22 de maio de 2002.|Agrotóxicos|Procedimentos para a reavaliação de ingredientes ativos de agrotóxicos e afins|Revogado|RDC 98/2003
Os Centros que realizam estudos de Biodisponibilidade/Bioequivalência para fins de registro de medicamentos deverão observar as normas e regulamentos técnicos em vigor.|Medicamentos||Revogado|RDC 103/2003
Institui e adota como exigência sanitária para ingresso de viajantes no País, o formulário ”DECLARAÇÃO DE SAÚDE DO VIAJANTE” - DSV (Anexo I), para controle e prevenção de doenças de interesse à saúde pública segundo situação epidemiológica e avaliação de risco.|Portos, Aeroportos e Fronteiras||Revogado|RDC 106/2003
Institui o Informe Sonoro para Vôo Internacional, da Síndrome Respiratória Aguda Grave, conforme Anexo I, e tornar obrigatória a sua leitura a bordo (“speech”) nas aeronaves procedentes do exterior com destino ou escala no território nacional.|Portos, Aeroportos e Fronteiras||Revogado|RDC 107/2003
Criar o PROGRAMA DE ANALISE DE RESÍDUOS DE AGROTÓXICOS EM ALIMENTOS – PARA|Agrotóxicos|Programa de análise de resíduos de agrotóxicos em alimentos (PARA)|Vigente|RDC 119/2003
Altera a redação da Resolução-RDC Nº 229, de 24 de junho de 1999.|Laboratórios Analíticos||Revogado|RDC 121/2003
Publicar a relação de Sustâncias Químicas de Referências certificadas, tendo em vista os resultados de estudos de Certificação interlaboratorial, coordenados pela Comissão Permanente de Revisão da Farmacopéia Brasileira, conforme anexo.|Farmacopeia|Substâncias Químicas de Referências (SQR)|Vigente|RDC 129/2003
Dispõe sobre o teor de iodo que deve conter o sal destinado ao consumo humano.|Alimentos||Revogado|RDC 130/2003
Dispõe sobre o registro de medicamentos específicos.|Medicamentos||Revogado|RDC 132/2003
Dispõe sobre o registro de Medicamento Similar e dá outras providências.|Medicamentos||Revogado|RDC 133/2003
Dispõe sobre a adequação dos medicamentos já registrados.|Medicamentos|Registro, pós-registro e notificação de medicamentos|Vigente com alterações|RDC 134/2003
Aprovar o Regulamento Técnico para Medicamentos Genéricos, anexo.|Medicamentos||Revogado|RDC 135/2003
Dispõe sobre o registro de medicamento novo.|Medicamentos||Revogado|RDC 136/2003
O registro/renovação de registro de medicamentos pertencentes às classes/ princípios ativos  relacionadas em ANEXO, só serão autorizados se as bulas contiverem a advertência pertinente, conforme relação anexa.|Medicamentos|Registro, pós-registro e notificação de medicamentos|Vigente|RDC 137/2003
Dispõe sobre o enquadramento na categoria de venda de medicamentos.|Medicamentos||Revogado|RDC 138/2003
Dispõe sobre o registro e a isenção de registro de medicamentos homeopáticos industrializados.|Medicamentos||Revogado|RDC 139/2003
Dispõe sobre as bulas de medicamentos|Medicamentos||Revogado|RDC 140/2003
"Determinar a publicação do ""Guia para Realização de  Alterações, Inclusões, Notificações e Cancelamento Pós-Registro de Medicamentos""."|Medicamentos||Revogado|RE 893/2003
"Determinar a publicação do ""Guia para protocolo e relatório técnico de estudo de bioequivalência""."|Medicamentos|Metodologias de controle de qualidade, segurança e eficácia de medicamentos|Vigente|RE 894/2003
Determinar a publicação do “Guia para elaboração de relatório técnico de estudo de biodisponibilidade relativa/bioequivalência”.|Medicamentos|Metodologias de controle de qualidade, segurança e eficácia de medicamentos|Vigente|RE 895/2003
"Determinar a publicação do ""Guia para provas de biodisponibilidade relativa/bioequivalência"""|Medicamentos||Revogado|RE 896/2003
"Determinar a publicação do ""Guia para isenção e  substituição de estudos de bioequivalência""."|Medicamentos||Revogado|RE 897/2003
"Determinar a publicação do ""Guia para planejamento e realização da etapa estatística de estudos de biodisponiblidade relativa/bioequivalência”."|Medicamentos|Metodologias de controle de qualidade, segurança e eficácia de medicamentos|Vigente|RE 898/2003
"Determinar a publicação do ""Guia para validação de métodos analíticos e bioanalíticos""."|Medicamentos|Métodos analíticos e bioanalíticos|Revogado|RE 899/2003
"Determinar a publicação do ""Guia para realização do estudo e elaboração do relatório de equivalência farmacêutica""."|Medicamentos||Revogado|RE 900/2003
"Determinar a publicação do ""Guia para ensaios de dissolução para formas farmacêuticas sólidas orais de liberação imediata."|Medicamentos||Revogado|RE 901/2003
"Determinar a publicação do ""Guia para a Notificação de lotes Piloto de Medicamentos""."|Medicamentos||Revogado|RE 902/2003
Institui o Código de Ética dos servidores da Agência Nacional de Vigilância Sanitária - ANVISA|Gestão interna|Código de ética e Comissão de Ética da Agência Nacional de Vigilância Sanitária (CEANVISA)|Vigente com alterações|RDC 141/2003
Altera os artigos 2º, 3º, 4º, 8º e 13 do Regimento Interno da Comissão de Ética da Agência Nacional de Vigilância Sanitária - CEANVISA, aprovado pela Resolução-RDC n.º 355, de 27 de dezembro de 2002.|Gestão interna|Código de ética e Comissão de Ética da Agência Nacional de Vigilância Sanitária (CEANVISA)|Revogado|RDC 142/2003
"PRORROGA POR 90 DIAS, A CONTAR DE 30.05.2003, O PRAZO ESTABELECIDO PARA QUE OS SERVIÇOS JÁ EXISTENTES POSSAM ADEQUAR-SE AO DISPOSTO
NA RDC/ANVISA Nº 101/01."|Serviços de Saúde||Revogado|RDC 143/2003
Altera o item 5 do Anexo da Resolução – RDC n.º 328, de 22 de julho de 1999, que trata do Regulamento Técnico que Institui as Boas Práticas de Dispensação em Farmácias e Drogarias.|Medicamentos||Revogado|RDC 149/2003
Fica aprovado o Fascículo 4 da Parte II, da 4ª Edição da Farmacopéia Brasileira, em anexo, elaborado pela Comissão Permanente de Revisão da Farmacopéia Brasileira-CPRFB, instituída pela Portaria nº 12, de 20 de janeiro de 2000.|Farmacopeia||Revogado|RDC 150/2003
Fica aprovado o Fascículo 1 da Parte II, da 2ª Edição da Farmacopéia Homeopática Brasileira, em anexo, elaborado pela Comissão Permanente de Revisão da Farmacopéia Brasileira-CPRFB, instituída pela Portaria nº 12, de 20 de janeiro de 2000.|Farmacopeia||Revogado|RDC 151/2003
Tornar insubsistente a Resolução da Diretoria Colegiada nº 149, de 11 de junho de 2003, publicada no DOU Nº nº 112, de 12 de junho de 2003, Seção 1, Página 105.|Medicamentos||Revogado|RDC 159/2003
Dispõe sobre o Regulamento Técnico de Boas Práticas de Fabricação para Estabelecimentos Industrializadores de Amendoins Processados e Derivados e a Lista de Verificação das Boas Práticas de Fabricação para Estabelecimentos Industrializadores de Amendoins Processados e Derivados|Alimentos|Boas Práticas de Fabricação (BPF) em estabelecimentos produtores/industrializadores de alimentos|Vigente|RDC 172/2003
